,index,name,norad,classification,int_desig,epoch_year,epoch_day,dn_o2,ddn_o6,bstar,set_num,inc,raan,ecc,argp,M,n,rev_num
0,1,glonass-105,32276,U,07052B,2020,2.67329634,-4.7e-07,0.0,0.0001,999,65.9389,34.5659,0.0011009,317.9585,232.622,2.13103567,9485
1,2,glonass-105,32276,U,07052B,2020,3.0794214,-4.4e-07,0.0,0.0001,999,65.939,34.5524,0.0011008,317.9526,184.1933,2.13103567,9486
2,3,glonass-105,32276,U,07052B,2020,3.47332612,-4.1e-07,0.0,0.0001,999,65.9391,34.5393,0.001104,317.9402,126.3964,2.13103572,9487
3,4,glonass-105,32276,U,07052B,2020,4.25934935,-3.5e-07,0.0,0.0001,999,65.9395,34.5132,0.0011114,317.8341,9.5129,2.13103581,9488
4,5,glonass-105,32276,U,07052B,2020,4.54667981,-3.3e-07,0.0,0.0001,999,65.9395,34.5036,0.0011115,317.7671,230.0097,2.13103575,9489
5,6,glonass-105,32276,U,07052B,2020,5.243551,-2.8e-07,0.0,0.0001,999,65.9397,34.4804,0.0011145,317.7988,44.5942,2.13103584,9491
6,7,glonass-105,32276,U,07052B,2020,6.1608773,-2.2e-07,0.0,0.0001,999,65.9401,34.4494,0.001117,317.8469,28.2875,2.13103579,9492
7,8,glonass-105,32276,U,07052B,2020,6.62215088,-1.9e-07,0.0,0.0001,999,65.9404,34.4343,0.0011252,317.9151,22.0941,2.13103604,9493
8,9,glonass-105,32276,U,07052B,2020,7.58589545,-1.5e-07,0.0,0.0001,999,65.9409,34.4022,0.0011282,317.8695,41.4924,2.13103615,9495
9,10,glonass-105,32276,U,07052B,2020,8.63836447,-1.2e-07,0.0,0.0001,999,65.9413,34.3671,0.0011297,317.8168,128.9637,2.13103616,9498
10,11,glonass-105,32276,U,07052B,2020,9.55447412,-1.1e-07,0.0,0.0001,999,65.9415,34.3368,0.0011338,317.8592,111.7292,2.13103611,9500
11,12,glonass-105,32276,U,07052B,2020,10.33957042,-1.2e-07,0.0,0.0001,999,65.9417,34.3106,0.0011342,317.8369,354.0512,2.13103617,9501
12,13,glonass-105,32276,U,07052B,2020,10.81167984,-1.3e-07,0.0,0.0001,999,65.9417,34.2945,0.001181,317.8922,356.1872,2.1310378,9502
13,14,glonass-105,32276,U,07052B,2020,11.58201992,-1.6e-07,0.0,0.0001,999,65.9428,34.269,0.0011415,317.8473,227.2064,2.13103629,9504
14,15,glonass-105,32276,U,07052B,2020,12.69904659,-2e-07,0.0,0.0001,999,65.9433,34.2314,0.0011414,317.9088,4.0908,2.13103645,9506
15,16,glonass-105,32276,U,07052B,2020,13.64586341,-2.5e-07,0.0,0.0001,999,65.9437,34.1997,0.001141,317.9823,10.3841,2.13103663,9508
16,17,glonass-105,32276,U,07052B,2020,14.35840738,-2.7e-07,0.0,0.0001,999,65.944,34.1758,0.0011418,317.859,197.1473,2.13103668,9510
17,18,glonass-105,32276,U,07052B,2020,14.87805205,-2.9e-07,0.0,0.0001,999,65.9442,34.1586,0.0011435,317.7852,235.8748,2.13103668,9511
18,19,glonass-105,32276,U,07052B,2020,15.35765362,-3e-07,0.0,0.0001,999,65.9447,34.143,0.0011538,317.6869,243.9059,2.13103661,9512
19,20,glonass-105,32276,U,07052B,2020,17.21438122,-3.1e-07,0.0,0.0001,999,65.9454,34.0812,0.0011546,317.7014,228.3102,2.13103664,9516
20,21,glonass-105,32276,U,07052B,2020,18.61681508,-3e-07,0.0,0.0001,999,65.9454,34.0349,0.0012026,317.5373,224.3692,2.13103479,9519
21,22,glonass-105,32276,U,07052B,2020,18.65994414,-3e-07,0.0,0.0001,999,65.9463,34.0326,0.0012055,317.9701,257.0215,2.1310336,9519
22,23,glonass-105,32276,U,07052B,2020,19.07730787,-3e-07,0.0,0.0001,999,65.946,34.0188,0.0011708,317.5438,217.6428,2.13103688,9520
23,24,glonass-105,32276,U,07052B,2020,20.30329618,-3e-07,0.0,0.0001,999,65.9468,33.9775,0.0011752,317.7646,77.9588,2.13103696,9523
24,25,glonass-105,32276,U,07052B,2020,20.67423343,-3.1e-07,0.0,0.0001,999,65.9472,33.9651,0.001176,317.8657,2.428,2.13103694,9523
25,26,glonass-105,32276,U,07052B,2020,21.147068,-3.2e-07,0.0,0.0001,999,65.9472,33.9494,0.0011774,317.8233,5.2132,2.13103698,9524
26,27,glonass-105,32276,U,07052B,2020,21.40568808,-3.2e-07,0.0,0.0001,999,65.9474,33.9408,0.0011838,317.9075,203.532,2.13103681,9525
27,28,glonass-105,32276,U,07052B,2020,22.56246031,-3.6e-07,0.0,0.0001,999,65.9474,33.9024,0.0011958,317.8761,10.9988,2.13103655,9527
28,29,glonass-105,32276,U,07052B,2020,22.56246031,-3.6e-07,0.0,0.0001,999,65.9474,33.9024,0.0011958,317.8761,10.9988,2.13103655,9527
29,30,glonass-105,32276,U,07052B,2020,23.2076194,-3.8e-07,0.0,0.0001,999,65.9475,33.8811,0.0011974,317.8858,145.9331,2.1310365,9529
30,31,glonass-105,32276,U,07052B,2020,23.70427725,-4.1e-07,0.0,0.0001,999,65.9475,33.8647,0.0011972,317.8553,166.9826,2.13103651,9530
31,32,glonass-105,32276,U,07052B,2020,24.57856678,-4.4e-07,0.0,0.0001,999,65.9477,33.8356,0.0012,317.8993,117.6639,2.1310365,9532
32,33,glonass-105,32276,U,07052B,2020,25.21181054,-4.6e-07,0.0,0.0001,999,65.9481,33.8144,0.0012004,318.0087,243.3573,2.13103642,9533
33,34,glonass-105,32276,U,07052B,2020,25.41862863,-4.7e-07,0.0,0.0001,999,65.9482,33.8075,0.0012021,318.005,42.0253,2.13103649,9534
