,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle,x_j2000_ilrs_Akima,y_j2000_ilrs_Akima,z_j2000_ilrs_Akima
0,glonass-105,32276,58850.673296342604,2458851.1732963426,-19671.223947452065,-15716.06013085279,-4202.738245369057,-19652.65139400862,-15699.97562345709,-4197.229451288242
1,glonass-105,32276,58851.07942140056,2458851.5794214006,-20224.774913426147,-6079.330249544022,14348.625749214752,-20205.502182199107,-6073.945979069277,14333.834852127731
2,glonass-105,32276,58851.473326122854,2458851.973326123,-3736.441928842819,9958.974423739595,23195.054622735508,-3736.5023720667546,9945.746865433443,23170.214349413465
3,glonass-105,32276,58852.25934935175,2458852.7593493517,20861.539806708555,7436.954500683362,-12606.489409812919,20853.124173558284,7434.24498347061,-12600.28267238848
4,glonass-105,32276,58852.54667981481,2458853.046679815,-20132.743940640732,-15390.581495448549,-3075.830882561608,-20111.20521628358,-15373.618900502828,-3072.4869427441463
5,glonass-105,32276,58853.243550995365,2458853.7435509954,20808.26196107405,14688.952209257533,942.5803470353674,20783.50961671429,14673.233017806711,944.2738943801623
6,glonass-105,32276,58854.16087730322,2458854.660877303,21852.66274999772,11847.676196566716,-5619.624368006714,21851.494876673823,11849.020361545638,-5615.669715704633
7,glonass-105,32276,58854.62215087982,2458855.12215088,21791.13723904356,10514.292630188718,-8002.445415010632,21790.177778088833,10513.965493973605,-8001.554493099988
8,glonass-105,32276,58855.58589545125,2458856.0858954513,21152.037686242333,14216.02006656234,-292.1491149045522,21149.884478308642,14217.351943915502,-289.8724622579899
9,glonass-105,32276,58856.63836446777,2458857.138364468,-4622.010504295026,9392.760839035702,23273.079990642065,-4628.277816287399,9389.517625950868,23274.468488203154
10,glonass-105,32276,58857.554474120494,2458858.0544741205,1915.2630322462476,13051.186974501868,21837.351657911415,1908.445370665185,13048.299185353433,21840.287990150428
11,glonass-105,32276,58858.3395704166,2458858.8395704166,18383.527197086594,3099.275101749595,-17375.1505495606,18382.51724297118,3097.640475249983,-17374.214879912837
12,glonass-105,32276,58858.81167983776,2458859.3116798378,18825.46928588286,3718.8511018266863,-16767.632928560528,18823.999935577373,3716.9355700587907,-16768.769624918168
13,glonass-105,32276,58859.582019919064,2458860.082019919,-20580.54286406868,-14975.324056936743,-1975.2965197108756,-20582.711832973953,-14975.223217894261,-1974.4194232832751
14,glonass-105,32276,58860.69904658571,2458861.1990465857,20195.767690232875,5904.9538524545405,-14375.86146343449,20195.50512253697,5905.610234115035,-14373.00258282264
