,index,name,norad,classification,int_desig,epoch_year,epoch_day,dn_o2,ddn_o6,bstar,set_num,inc,raan,ecc,argp,M,n,rev_num
0,1,tandemx,36605,U,10030A,2021,1.09863832,-4.86e-06,0.0,-1.9969e-05,999,97.4437,11.2964,0.0001991,76.7662,5.3912,15.19148454,58404
1,2,tandemx,36605,U,10030A,2021,1.43307506,-1.2e-06,0.0,-2.5136e-06,999,97.4435,11.6266,0.0001914,80.2786,29.7394,15.19150837,58409
2,3,tandemx,36605,U,10030A,2021,1.43307506,-1.2e-06,0.0,-2.5136e-06,999,97.4435,11.6266,0.0001914,80.2786,29.7394,15.19150837,58409
3,4,tandemx,36605,U,10030A,2021,1.82774884,1.95e-06,0.0,1.2456e-05,999,97.4437,12.0153,0.000204,87.1458,19.9591,15.19153191,58415
4,5,tandemx,36605,U,10030A,2021,1.82774884,1.95e-06,0.0,1.2456e-05,999,97.4437,12.0153,0.000204,87.1458,19.9591,15.19153191,58415
5,6,tandemx,36605,U,10030A,2021,2.14955902,3.84e-06,0.0,2.1454e-05,999,97.4437,12.332,0.000192,84.3799,341.5741,15.1915489,58420
6,7,tandemx,36605,U,10030A,2021,2.49494948,4.57e-06,0.0,2.4953e-05,999,97.4437,12.6722,0.0001929,85.0816,68.5976,15.19155826,58425
7,8,tandemx,36605,U,10030A,2021,2.49494948,4.57e-06,0.0,2.4953e-05,999,97.4437,12.6722,0.0001929,85.0816,68.5976,15.19155826,58425
8,9,tandemx,36605,U,10030A,2021,2.81792957,6.99e-06,0.0,3.6457e-05,999,97.4432,12.9913,0.0001976,85.2996,33.6245,15.19157721,58430
9,10,tandemx,36605,U,10030A,2021,2.81792957,6.99e-06,0.0,3.6457e-05,999,97.4432,12.9913,0.0001976,85.2996,33.6245,15.19157721,58430
10,11,tandemx,36605,U,10030A,2021,3.13822583,8.16e-06,0.0,4.2028e-05,999,97.4433,13.3066,0.0002075,86.9184,342.5792,15.19158684,58435
11,12,tandemx,36605,U,10030A,2021,3.5423837,7.82e-06,0.0,4.0401e-05,999,97.4435,13.7048,0.0002038,85.8083,32.6055,15.19159046,58441
12,13,tandemx,36605,U,10030A,2021,3.5423837,7.82e-06,0.0,4.0401e-05,999,97.4435,13.7048,0.0002038,85.8083,32.6055,15.19159046,58441
13,14,tandemx,36605,U,10030A,2021,3.86845559,7e-06,0.0,3.6493e-05,999,97.4435,14.0261,0.000194,86.1419,14.4059,15.1915865,58446
14,15,tandemx,36605,U,10030A,2021,3.86845559,7e-06,0.0,3.6493e-05,999,97.4435,14.0261,0.000194,86.1419,14.4059,15.1915865,58446
15,16,tandemx,36605,U,10030A,2021,4.20219534,5.24e-06,0.0,2.8127e-05,999,97.4436,14.355,0.0002004,85.1087,39.4742,15.19157276,58451
16,17,tandemx,36605,U,10030A,2021,4.53069256,3.39e-06,0.0,1.9355e-05,999,97.4438,14.6785,0.000188,80.1849,39.7785,15.19155892,58456
17,18,tandemx,36605,U,10030A,2021,4.53069256,3.39e-06,0.0,1.9355e-05,999,97.4438,14.6785,0.000188,80.1849,39.7785,15.19155892,58456
18,19,tandemx,36605,U,10030A,2021,4.8567606,-1.573e-05,0.0,-7.176e-05,999,97.4445,15.001,0.0001962,87.3923,14.6526,15.1914572,58461
19,20,tandemx,36605,U,10030A,2021,5.19095792,-1.737e-05,0.0,-7.958e-05,999,97.4443,15.3303,0.0001914,86.748,41.8292,15.19144022,58466
20,21,tandemx,36605,U,10030A,2021,5.52489733,-1.753e-05,0.0,-8.0337e-05,999,97.4443,15.6594,0.0001933,84.2781,69.4213,15.19142917,58471
21,22,tandemx,36605,U,10030A,2021,5.52489733,-1.753e-05,0.0,-8.0337e-05,999,97.4443,15.6594,0.0001933,84.2781,69.4213,15.19142917,58471
22,23,tandemx,36605,U,10030A,2021,5.84056537,-1.823e-05,0.0,-8.3682e-05,999,97.4449,15.9707,0.0001911,83.961,354.9976,15.19141508,58476
23,24,tandemx,36605,U,10030A,2021,5.84056537,-1.823e-05,0.0,-8.3682e-05,999,97.4449,15.9707,0.0001911,83.961,354.9976,15.19141508,58476
24,25,tandemx,36605,U,10030A,2021,6.16722924,-1.64e-05,0.0,-7.4927e-05,999,97.4448,16.2924,0.0001842,80.5986,343.7189,15.1914144,58481
25,26,tandemx,36605,U,10030A,2021,6.37330191,-1.758e-05,0.0,-8.0549e-05,999,97.4449,16.4957,0.0001889,81.0002,29.5884,15.19140102,58484
26,27,tandemx,36605,U,10030A,2021,6.37330191,-1.758e-05,0.0,-8.0549e-05,999,97.4449,16.4957,0.0001889,81.0002,29.5884,15.19140102,58484
27,28,tandemx,36605,U,10030A,2021,7.09053035,2.784e-05,0.0,0.0001357,999,97.4458,17.2033,0.0001756,93.1507,337.4753,15.1916033,58495
28,29,tandemx,36605,U,10030A,2021,7.29301902,-3.21e-06,0.0,-1.2102e-05,999,97.4452,17.4027,0.0001946,79.6441,17.64,15.19149453,58498
29,30,tandemx,36605,U,10030A,2021,8.93287736,5.5e-06,0.0,2.9366e-05,999,97.4461,19.0181,0.0001635,92.4437,327.46,15.19156077,58523
30,31,tandemx,36605,U,10030A,2021,8.93287736,5.5e-06,0.0,2.9366e-05,999,97.4461,19.0181,0.0001635,92.4437,327.46,15.19156077,58523
31,32,tandemx,36605,U,10030A,2021,9.91856243,-1.436e-05,0.0,-6.5222e-05,999,97.4459,19.9897,0.0001893,75.5693,331.5217,15.19145968,58538
32,33,tandemx,36605,U,10030A,2021,10.12365802,-1.6e-05,0.0,-7.3023e-05,999,97.4461,20.1916,0.000188,75.4584,12.5671,15.1914461,58541
33,34,tandemx,36605,U,10030A,2021,10.45390323,-1.683e-05,0.0,-7.7007e-05,999,97.4462,20.5172,0.0001869,74.5612,18.3949,15.19143111,58546
34,35,tandemx,36605,U,10030A,2021,10.59656266,-1.638e-05,0.0,-7.4837e-05,999,97.4459,20.6571,0.0001888,74.8064,77.8453,15.19142909,58548
35,36,tandemx,36605,U,10030A,2021,10.77920228,-1.745e-05,0.0,-7.9959e-05,999,97.446,20.8372,0.0001884,75.667,355.1853,15.19141637,58551
36,37,tandemx,36605,U,10030A,2021,10.91456144,-1.735e-05,0.0,-7.9447e-05,999,97.446,20.9705,0.0001881,75.1578,15.4896,15.19141255,58553
37,38,tandemx,36605,U,10030A,2021,14.61108603,1.079e-05,0.0,5.4566e-05,999,97.4445,24.6122,0.000167,85.9553,47.982,15.19160378,58609
38,39,tandemx,36605,U,10030A,2021,15.46762796,6.7e-06,0.0,3.5102e-05,999,97.4449,25.4552,0.0001525,71.809,63.512,15.19157995,58622
39,40,tandemx,36605,U,10030A,2021,15.60167841,6.34e-06,0.0,3.3364e-05,999,97.4449,25.5874,0.0001539,59.4623,88.5035,15.19157845,58624
40,41,tandemx,36605,U,10030A,2021,15.80384988,5.65e-06,0.0,3.0095e-05,999,97.4444,25.786,0.0001577,48.1201,124.8027,15.19157522,58627
41,42,tandemx,36605,U,10030A,2021,16.58980966,-3.22e-06,0.0,-1.215e-05,999,97.444,26.5613,0.0001527,75.8612,72.6701,15.1915104,58639
42,43,tandemx,36605,U,10030A,2021,16.71505142,-7.81e-06,0.0,-3.3994e-05,999,97.445,26.6856,0.0001729,88.5259,24.4894,15.19147142,58641
43,44,tandemx,36605,U,10030A,2021,16.90874676,-9.95e-06,0.0,-4.4189e-05,999,97.4449,26.8768,0.0001751,91.8174,359.8233,15.19145409,58644
44,45,tandemx,36605,U,10030A,2021,17.03494506,-9.91e-06,0.0,-4.4019e-05,999,97.4449,27.0013,0.0001752,91.3631,330.0064,15.19145197,58646
45,46,tandemx,36605,U,10030A,2021,17.03494506,-9.91e-06,0.0,-4.4019e-05,999,97.4449,27.0013,0.0001752,91.3631,330.0064,15.19145197,58646
46,47,tandemx,36605,U,10030A,2021,17.03494506,-1.146e-05,0.0,-5.1413e-05,999,97.4445,27.0003,0.0001793,91.5274,329.8358,15.19143205,58646
47,48,tandemx,36605,U,10030A,2021,23.24038961,-9.23e-06,0.0,-4.0776e-05,999,97.4466,33.1191,0.000208,96.276,40.6793,15.19144645,58740
48,49,tandemx,36605,U,10030A,2021,23.36851111,-8.79e-06,0.0,-3.8694e-05,999,97.4467,33.2458,0.000227,100.1642,17.0385,15.19145082,58742
