,Unnamed: 0,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle,x_j2000_ilrs_Akima,y_j2000_ilrs_Akima,z_j2000_ilrs_Akima
0,0,tandemx,36605,59215.09863832174,2459215.5986383217,1105.2029857692576,-687.155198474597,6753.596785207014,1101.752094797647,-687.7409839073499,6753.879616159246
1,1,tandemx,36605,59215.43307505781,2459215.933075058,-2136.1804493536247,-1285.9938526352166,6410.938540521806,-2139.1896967897233,-1286.546366965794,6409.482564146889
2,2,tandemx,36605,59215.43307505781,2459215.933075058,-2136.1804493536247,-1285.9938526352166,6410.938540521806,-2139.1896967897233,-1286.546366965794,6409.482564146889
3,3,tandemx,36605,59215.82774884254,2459216.3277488425,-1798.7115467243966,-1247.031100498748,6520.829568014565,-1801.2883232964557,-1247.775699721177,6519.593145981575
4,4,tandemx,36605,59215.82774884254,2459216.3277488425,-1798.7115467243966,-1247.031100498748,6520.829568014565,-1801.2883232964557,-1247.775699721177,6519.593145981575
5,5,tandemx,36605,59216.14955901634,2459216.6495590163,2929.342835843272,-209.10281293365225,6220.573970596675,2928.239239062064,-209.2380852885193,6220.7830271660705
6,6,tandemx,36605,59216.49494947912,2459216.994949479,-5943.235326352927,-1711.800038487401,3025.6062454266544,-5944.20770405771,-1711.9951529554558,3023.4799134017494
7,7,tandemx,36605,59216.49494947912,2459216.994949479,-5943.235326352927,-1711.800038487401,3025.6062454266544,-5944.20770405771,-1711.9951529554558,3023.4799134017494
8,8,tandemx,36605,59216.81792957196,2459217.317929572,-3068.6855046290366,-1495.2027866861108,5972.959488603523,-3070.155751347276,-1495.8204373340761,5971.612401090867
9,9,tandemx,36605,59216.81792957196,2459217.317929572,-3068.6855046290366,-1495.2027866861108,5972.959488603523,-3070.155751347276,-1495.8204373340761,5971.612401090867
10,10,tandemx,36605,59217.13822583342,2459217.6382258334,2553.32607296122,-268.7689897152267,6381.431195950526,2552.6239938023655,-268.8005942932021,6381.617450920821
11,11,tandemx,36605,59217.54238370387,2459218.042383704,-2996.480880267805,-1524.6690110112925,6001.974596421303,-2996.7479067116337,-1524.8189750537542,6002.036155432824
12,12,tandemx,36605,59217.54238370387,2459218.042383704,-2996.480880267805,-1524.6690110112925,6001.974596421303,-2996.7479067116337,-1524.8189750537542,6002.036155432824
13,13,tandemx,36605,59217.868455590215,2459218.36845559,-1003.981562515452,-1151.4754778441445,6706.17832987052,-1005.7112214417186,-1152.2616243375005,6705.550228204087
14,14,tandemx,36605,59217.868455590215,2459218.36845559,-1003.981562515452,-1151.4754778441445,6706.17832987052,-1005.7112214417186,-1152.2616243375005,6705.550228204087
15,15,tandemx,36605,59218.202195335645,2459218.702195336,-3605.5316946464154,-1663.9178076267497,5618.7480574820665,-3607.7813981260256,-1664.7532614989627,5617.169489939899
16,16,tandemx,36605,59218.53069255781,2459219.030692558,-3131.032366246277,-1604.7366986186837,5912.167912736413,-3135.325790389008,-1605.5951570605744,5909.703180608111
17,17,tandemx,36605,59218.53069255781,2459219.030692558,-3131.032366246277,-1604.7366986186837,5912.167912736413,-3135.325790389008,-1605.5951570605744,5909.703180608111
18,18,tandemx,36605,59218.85676060198,2459219.356760602,-1156.227485486942,-1209.2148639701663,6671.503263819749,-1166.0369889003744,-1211.7542058534866,6669.067653784081
19,19,tandemx,36605,59219.19095791644,2459219.6909579164,-3959.363265914023,-1789.6888052171005,5335.551202653332,-3968.520638505926,-1791.5727706173845,5328.194140732458
20,20,tandemx,36605,59219.52489732625,2459220.0248973262,-5847.109931002523,-2019.5560521288028,3023.2617133551003,-5853.707471486042,-2019.7094461731403,3010.3189649567216
21,21,tandemx,36605,59219.52489732625,2459220.0248973262,-5847.109931002523,-2019.5560521288028,3023.2617133551003,-5853.707471486042,-2019.7094461731403,3010.3189649567216
22,22,tandemx,36605,59219.8405653704,2459220.3405653704,1521.0550728521127,-485.3392226030453,6690.165812885102,1504.5513177449684,-490.6885668928257,6693.245842475242
23,23,tandemx,36605,59219.8405653704,2459220.3405653704,1521.0550728521127,-485.3392226030453,6690.165812885102,1504.5513177449684,-490.6885668928257,6693.245842475242
24,24,tandemx,36605,59220.1672292361,2459220.667229236,3105.296066006368,52.3076738015592,6138.236991044811,3095.2085393984676,48.56463357999495,6143.054425022489
25,25,tandemx,36605,59220.37330190977,2459220.87330191,-2081.924690002436,-1478.924728162707,6387.238447062046,-2095.0485706390355,-1482.3501010183297,6381.837865127876
26,26,tandemx,36605,59220.37330190977,2459220.87330191,-2081.924690002436,-1478.924728162707,6387.238447062046,-2095.0485706390355,-1482.3501010183297,6381.837865127876
27,27,tandemx,36605,59221.09053034708,2459221.590530347,2445.750225328564,-138.65496325542014,6427.71673141745,2442.732847799972,-139.0786302638215,6428.468311380773
28,28,tandemx,36605,59221.29301901627,2459221.7930190163,-561.5087306254767,-1102.9543230794254,6765.637878609146,-568.2701174894614,-1105.4342099594867,6764.435476932213
29,29,tandemx,36605,59222.93287736131,2459223.4328773613,3533.224344989626,380.6454188423302,5891.055072124176,3536.513270302727,382.1533110424986,5888.757996659433
30,30,tandemx,36605,59222.93287736131,2459223.4328773613,3533.224344989626,380.6454188423302,5891.055072124176,3536.513270302727,382.1533110424986,5888.757996659433
31,31,tandemx,36605,59223.91856243042,2459224.4185624304,4647.8642126103205,969.1163588154102,4981.141024579403,4653.707970327872,972.0411402076934,4975.470473711756
32,32,tandemx,36605,59224.12365802098,2459224.623658021,540.1437149773687,-757.3330012658911,6814.640041256801,529.9933629740073,-760.7698172854381,6814.877568683637
33,33,tandemx,36605,59224.453903228976,2459224.953903229,-12.205705669572149,-958.9679816597294,6810.700747030363,-24.727369026714406,-963.0429872180573,6809.963717760712
34,34,tandemx,36605,59224.59656266216,2459225.096562662,-5590.546480045884,-2515.815805712871,3134.3648172589237,-5596.240899684955,-2516.3967721684958,3123.314232191829
35,35,tandemx,36605,59224.7792022801,2459225.27920228,2425.3776323523616,5.40794222916921,6436.776108316612,2412.0686832982187,-0.008479554024448367,6441.601878799795
36,36,tandemx,36605,59224.91456143512,2459225.414561435,255.5061221479276,-862.0382992142846,6818.833119663063,239.41022295309332,-867.6396723201145,6818.555606588299
37,37,tandemx,36605,59228.611086030025,2459229.11108603,-4083.64957085288,-2556.0662125048043,4914.321080575033,-4071.787243914187,-2552.4145400331804,4925.991205437909
38,38,tandemx,36605,59229.46762796305,2459229.967627963,-4159.726675782175,-2652.861617304716,4798.567894953442,-4165.977126991473,-2654.8855138144377,4791.445627482905
39,39,tandemx,36605,59229.60167841427,2459230.1016784143,-5073.444155102371,-2925.683759949445,3619.499050075636,-5078.280170194654,-2926.8673762953276,3610.7899529376214
40,40,tandemx,36605,59229.80384988431,2459230.3038498843,-6123.572992603794,-3043.3590373571446,837.9213794568062,-6124.701943731699,-3042.4833057648466,825.0918189480017
41,41,tandemx,36605,59230.589809664525,2459231.0898096645,-5058.257537189068,-3020.5448464167675,3562.0447742157053,-5062.532144066604,-3021.773829321148,3554.4161220329966
42,42,tandemx,36605,59230.71505142376,2459231.215051424,-2036.1239689173133,-1934.0312797261097,6279.761482424586,-2046.1936413635124,-1938.6191850575756,6274.721120705703
43,43,tandemx,36605,59230.90874675941,2459231.4087467594,236.57742525490448,-885.3652237595094,6816.561808474884,222.93743518091262,-892.1360362129147,6815.953239079884
44,44,tandemx,36605,59231.034945057705,2459231.5349450577,3314.1677063917373,786.9802975707768,5977.202603614167,3305.2629182207997,782.0753949986097,5982.444737239846
45,45,tandemx,36605,59231.034945057705,2459231.5349450577,3314.1677063917373,786.9802975707768,5977.202603614167,3305.2629182207997,782.0753949986097,5982.444737239846
46,46,tandemx,36605,59231.034945057705,2459231.5349450577,3314.752862699176,787.3149013616246,5976.815771884847,3305.2629182207997,782.0753949986097,5982.444737239846
47,47,tandemx,36605,59237.24038960645,2459237.7403896064,-3892.9394673834527,-3243.4314195154666,4657.018043047801,-3899.0755668065376,-3246.408513367094,4650.1922759927265
