,index,name,norad,classification,int_desig,epoch_year,epoch_day,dn_o2,ddn_o6,bstar,set_num,inc,raan,ecc,argp,M,n,rev_num
0,1,technosat,42829,U,17042E,2021,1.17420651,1.88e-06,0.0,2.4209e-05,999,97.492,239.3336,0.0013954,352.1034,7.9963,14.91195633,18875
1,2,technosat,42829,U,17042E,2021,1.24130847,1.92e-06,0.0,2.4582e-05,999,97.492,239.3974,0.0013948,351.8767,8.2224,14.91195653,18876
2,3,technosat,42829,U,17042E,2021,1.24130847,1.92e-06,0.0,2.4582e-05,999,97.492,239.3974,0.0013948,351.8767,8.2224,14.91195653,18876
3,4,technosat,42829,U,17042E,2021,1.71102168,2.05e-06,0.0,2.5941e-05,999,97.492,239.8435,0.0013908,350.2818,9.813,14.91195916,18883
4,5,technosat,42829,U,17042E,2021,1.91232731,2.15e-06,0.0,2.6919e-05,999,97.492,240.0347,0.0013895,349.6168,10.4762,14.91196037,18886
5,6,technosat,42829,U,17042E,2021,2.18073482,2.35e-06,0.0,2.893e-05,999,97.4919,240.2897,0.0013867,348.7227,11.368,14.91196242,18890
6,7,technosat,42829,U,17042E,2021,2.58334613,2.5e-06,0.0,3.0451e-05,999,97.4919,240.6721,0.0013834,347.3278,12.7592,14.91196399,18896
7,8,technosat,42829,U,17042E,2021,2.71754988,2.57e-06,0.0,3.1147e-05,999,97.4919,240.7996,0.0013822,346.8735,13.2123,14.91196473,18898
8,9,technosat,42829,U,17042E,2021,2.91885545,2.67e-06,0.0,3.216e-05,999,97.4919,240.9908,0.0013807,346.1966,13.8874,14.91196578,18901
9,10,technosat,42829,U,17042E,2021,3.18726291,2.82e-06,0.0,3.3616e-05,999,97.4918,241.2457,0.0013781,345.2407,14.8408,14.91196718,18905
10,11,technosat,42829,U,17042E,2021,3.38856854,2.91e-06,0.0,3.4588e-05,999,97.4917,241.4369,0.0013762,344.5052,15.5744,14.91196765,18908
11,12,technosat,42829,U,17042E,2021,3.58987408,2.92e-06,0.0,3.461e-05,999,97.4917,241.6281,0.0013747,343.8033,16.2745,14.91196843,18911
12,13,technosat,42829,U,17042E,2021,3.72407772,3.03e-06,0.0,3.5709e-05,999,97.4917,241.7556,0.0013736,343.3282,16.7484,14.91196958,18913
13,14,technosat,42829,U,17042E,2021,3.92538319,3.1e-06,0.0,3.6458e-05,999,97.4917,241.9468,0.0013719,342.6319,17.4429,14.91197067,18916
14,15,technosat,42829,U,17042E,2021,4.19379049,3.21e-06,0.0,3.7598e-05,999,97.4917,242.2017,0.0013697,341.6843,18.3881,14.91197231,18920
15,16,technosat,42829,U,17042E,2021,4.39509602,3.32e-06,0.0,3.8686e-05,999,97.4916,242.393,0.001368,340.9569,19.1137,14.91197317,18923
16,17,technosat,42829,U,17042E,2021,4.59640141,3.32e-06,0.0,3.8652e-05,999,97.4916,242.5842,0.0013665,340.2445,19.8243,14.91197442,18926
17,18,technosat,42829,U,17042E,2021,4.66350317,3.35e-06,0.0,3.9005e-05,999,97.4916,242.6479,0.0013661,339.9904,20.0777,14.91197506,18927
18,19,technosat,42829,U,17042E,2021,5.13321572,3.38e-06,0.0,3.9279e-05,999,97.4916,243.0941,0.0013622,338.3256,21.7385,14.91197778,18934
19,20,technosat,42829,U,17042E,2021,5.40162285,3.49e-06,0.0,4.0409e-05,999,97.4915,243.349,0.00136,337.3826,22.6792,14.91197978,18938
20,21,technosat,42829,U,17042E,2021,5.60292815,3.37e-06,0.0,3.9182e-05,999,97.4915,243.5402,0.0013586,336.6582,23.4018,14.91198072,18941
21,22,technosat,42829,U,17042E,2021,5.67002988,3.38e-06,0.0,3.9319e-05,999,97.4915,243.604,0.0013581,336.414,23.6455,14.91198139,18942
22,23,technosat,42829,U,17042E,2021,5.67002988,3.38e-06,0.0,3.9319e-05,999,97.4915,243.604,0.0013581,336.414,23.6455,14.91198139,18942
23,24,technosat,42829,U,17042E,2021,6.13974199,3.34e-06,0.0,3.8909e-05,999,97.4914,244.0501,0.0013546,334.7196,25.3358,14.91198534,18949
24,25,technosat,42829,U,17042E,2021,6.54235241,3.15e-06,0.0,3.6964e-05,999,97.4914,244.4325,0.0013514,333.3053,26.7469,14.91198758,18955
25,26,technosat,42829,U,17042E,2021,6.60945415,3.11e-06,0.0,3.6594e-05,999,97.4914,244.4962,0.0013509,333.0793,26.9723,14.91198802,18956
26,27,technosat,42829,U,17042E,2021,7.14626788,2.64e-06,0.0,3.1815e-05,999,97.4913,245.0061,0.0013461,331.2044,28.8431,14.91199054,18964
27,28,technosat,42829,U,17042E,2021,7.21336965,2.41e-06,0.0,2.9569e-05,999,97.4913,245.0699,0.0013455,330.9704,29.0765,14.91198966,18965
28,29,technosat,42829,U,17042E,2021,7.61597991,2.07e-06,0.0,2.6107e-05,999,97.4913,245.4523,0.0013422,329.5688,30.4751,14.91199142,18971
29,30,technosat,42829,U,17042E,2021,7.61597991,2.07e-06,0.0,2.6107e-05,999,97.4913,245.4523,0.0013422,329.5688,30.4751,14.91199142,18971
30,31,technosat,42829,U,17042E,2021,8.15279351,1.62e-06,0.0,2.1585e-05,999,97.4913,245.9621,0.0013376,327.6874,32.3524,14.91199386,18979
31,32,technosat,42829,U,17042E,2021,8.21989526,1.55e-06,0.0,2.0889e-05,999,97.4913,246.0258,0.001337,327.4486,32.5908,14.91199384,18980
32,33,technosat,42829,U,17042E,2021,8.21989526,1.55e-06,0.0,2.0889e-05,999,97.4913,246.0258,0.001337,327.4486,32.5908,14.91199384,18980
33,34,technosat,42829,U,17042E,2021,8.68960719,1.13e-06,0.0,1.6676e-05,999,97.4912,246.472,0.001333,325.821,34.215,14.91199523,18987
34,35,technosat,42829,U,17042E,2021,8.68960719,1.13e-06,0.0,1.6676e-05,999,97.4912,246.472,0.001333,325.821,34.215,14.91199523,18987
35,36,technosat,42829,U,17042E,2021,9.15931903,8.7e-07,0.0,1.4071e-05,999,97.4912,246.9181,0.0013286,324.1862,35.8465,14.91199754,18994
36,37,technosat,42829,U,17042E,2021,9.36062417,7.7e-07,0.0,1.2999e-05,999,97.4912,247.1093,0.0013268,323.4838,36.5476,14.91199795,18997
37,38,technosat,42829,U,17042E,2021,9.56192924,6.9e-07,0.0,1.2263e-05,999,97.4912,247.3005,0.0013255,322.7721,37.2578,14.91199891,19000
38,39,technosat,42829,U,17042E,2021,9.62903093,6.6e-07,0.0,1.1976e-05,999,97.4912,247.3642,0.0013252,322.5384,37.4911,14.9119992,19001
39,40,technosat,42829,U,17042E,2021,9.62903093,6.6e-07,0.0,1.1976e-05,999,97.4912,247.3642,0.0013252,322.5384,37.4911,14.9119992,19001
40,41,technosat,42829,U,17042E,2021,10.16584455,4.8e-07,0.0,1.0113e-05,999,97.4912,247.8741,0.0013204,320.6874,39.3385,14.91200113,19009
41,42,technosat,42829,U,17042E,2021,10.36714971,4.8e-07,0.0,1.0152e-05,999,97.4912,248.0654,0.0013188,319.9922,40.0325,14.91200166,19012
42,43,technosat,42829,U,17042E,2021,10.56845479,5.4e-07,0.0,1.0722e-05,999,97.4912,248.2566,0.0013177,319.2764,40.7469,14.91200285,19015
43,44,technosat,42829,U,17042E,2021,10.63555648,5.6e-07,0.0,1.0886e-05,999,97.4912,248.3203,0.0013176,319.0375,40.9853,14.91200327,19016
44,45,technosat,42829,U,17042E,2021,10.63555648,5.6e-07,0.0,1.0886e-05,999,97.4912,248.3203,0.0013176,319.0375,40.9853,14.91200327,19016
45,46,technosat,42829,U,17042E,2021,11.17237007,7.3e-07,0.0,1.2593e-05,999,97.4912,248.8302,0.0013133,317.1041,42.9153,14.91200592,19024
46,47,technosat,42829,U,17042E,2021,11.37367521,8.3e-07,0.0,1.361e-05,999,97.4912,249.0214,0.0013121,316.3979,43.6202,14.91200656,19027
47,48,technosat,42829,U,17042E,2021,11.5749803,9.2e-07,0.0,1.4533e-05,999,97.4912,249.2126,0.0013114,315.6784,44.3385,14.91200758,19030
48,49,technosat,42829,U,17042E,2021,11.64208201,9.5e-07,0.0,1.4879e-05,999,97.4912,249.2763,0.001311,315.4375,44.5789,14.9120079,19031
49,50,technosat,42829,U,17042E,2021,11.64208201,9.5e-07,0.0,1.4879e-05,999,97.4912,249.2763,0.001311,315.4375,44.5789,14.9120079,19031
50,51,technosat,42829,U,17042E,2021,12.38020054,1.99e-06,0.0,2.5284e-05,999,97.4912,249.9774,0.0013066,312.7505,47.2614,14.91201447,19042
51,52,technosat,42829,U,17042E,2021,12.58150569,1.88e-06,0.0,2.4215e-05,999,97.4912,250.1686,0.0013056,312.0328,47.9779,14.912014,19045
52,53,technosat,42829,U,17042E,2021,12.64860736,1.96e-06,0.0,2.4967e-05,999,97.4912,250.2323,0.0013051,311.7868,48.2235,14.91201452,19046
53,54,technosat,42829,U,17042E,2021,12.9170141,2.13e-06,0.0,2.6729e-05,999,97.4912,250.4872,0.0013034,310.8003,49.2085,14.91201557,19050
54,55,technosat,42829,U,17042E,2021,13.1854208,2.43e-06,0.0,2.9721e-05,999,97.4912,250.7422,0.0013011,309.835,50.1724,14.91201754,19054
55,56,technosat,42829,U,17042E,2021,13.25252252,2.43e-06,0.0,2.972e-05,999,97.4911,250.8059,0.0013012,309.5825,50.4245,14.91201736,19055
56,57,technosat,42829,U,17042E,2021,13.58803084,2.71e-06,0.0,3.2538e-05,999,97.4911,251.1245,0.0012998,308.3764,51.6287,14.91201942,19060
57,58,technosat,42829,U,17042E,2021,13.72223416,2.78e-06,0.0,3.3284e-05,999,97.4911,251.252,0.0012992,307.8804,52.1239,14.9120201,19062
58,59,technosat,42829,U,17042E,2021,13.72223416,2.78e-06,0.0,3.3284e-05,999,97.4911,251.252,0.0012992,307.8804,52.1239,14.9120201,19062
59,60,technosat,42829,U,17042E,2021,14.19194577,2.98e-06,0.0,3.5259e-05,999,97.491,251.6981,0.0012976,306.1178,53.884,14.91202195,19069
60,61,technosat,42829,U,17042E,2021,14.39325074,3.04e-06,0.0,3.584e-05,999,97.491,251.8893,0.0012968,305.3911,54.6096,14.91202247,19072
61,62,technosat,42829,U,17042E,2021,14.59455564,3.08e-06,0.0,3.6307e-05,999,97.4909,252.0805,0.0012959,304.662,55.3378,14.91202366,19075
62,63,technosat,42829,U,17042E,2021,14.66165729,3.09e-06,0.0,3.6379e-05,999,97.4909,252.1442,0.0012954,304.4137,55.5857,14.91202394,19076
63,64,technosat,42829,U,17042E,2021,15.19847026,3.13e-06,0.0,3.6754e-05,999,97.4908,252.654,0.0012932,302.4367,57.5601,14.9120266,19084
