,index,name,norad,classification,int_desig,epoch_year,epoch_day,dn_o2,ddn_o6,bstar,set_num,inc,raan,ecc,argp,M,n,rev_num
0,1,terrasarx,31698,U,07026A,2021,6.37326786,0.00012929,0.0,0.0006175,999,97.4457,16.4928,0.0001685,88.8844,21.5614,15.19166451,75210
1,2,terrasarx,31698,U,07026A,2021,6.5726267,8.07e-06,0.0,4.1615e-05,999,97.4445,16.6922,0.0001905,75.7183,44.3178,15.19158936,75213
2,3,terrasarx,31698,U,07026A,2021,6.89190045,2.06e-06,0.0,1.3001e-05,999,97.446,17.0069,0.0002041,89.0249,335.9853,15.1915452,75218
3,4,terrasarx,31698,U,07026A,2021,7.15528388,3.02e-06,0.0,1.7566e-05,999,97.4462,17.2668,0.0001995,86.5112,338.0172,15.19155637,75222
4,5,terrasarx,31698,U,07026A,2021,7.36160369,3.49e-06,0.0,1.9831e-05,999,97.4461,17.4707,0.0002094,85.4865,26.6782,15.19156093,75225
5,6,terrasarx,31698,U,07026A,2021,7.5603556,1.489e-05,0.0,7.4057e-05,999,97.4455,17.665,0.0002053,80.2822,38.1568,15.19158763,75228
6,7,terrasarx,31698,U,07026A,2021,7.69495803,-1.39e-06,0.0,-3.4171e-06,999,97.4457,17.7981,0.0002116,81.1343,52.9625,15.19154443,75230
7,8,terrasarx,31698,U,07026A,2021,7.82108914,-4.13e-06,0.0,-1.6476e-05,999,97.4457,17.9226,0.0002137,81.7457,21.715,15.19153566,75232
8,9,terrasarx,31698,U,07026A,2021,8.0167045,-3.4e-07,0.0,1.5534e-06,999,97.4458,18.1149,0.0002047,84.2298,8.3637,15.19154664,75235
9,10,terrasarx,31698,U,07026A,2021,8.54825355,-4.45e-06,0.0,-1.7983e-05,999,97.4453,18.6383,0.0002098,82.6008,35.1528,15.19153131,75243
10,11,terrasarx,31698,U,07026A,2021,8.80897726,-1.073e-05,0.0,-4.7915e-05,999,97.4452,18.8959,0.0002043,83.0569,19.6645,15.19150191,75247
11,12,terrasarx,31698,U,07026A,2021,8.93781469,-8.75e-06,0.0,-3.8501e-05,999,97.4444,19.0235,0.0001992,85.4388,1.4411,15.19150805,75249
12,13,terrasarx,31698,U,07026A,2021,9.12804264,-9.28e-06,0.0,-4.1007e-05,999,97.4449,19.21,0.0002048,81.1614,325.3982,15.19150242,75252
13,14,terrasarx,31698,U,07026A,2021,9.46563645,-1.206e-05,0.0,-5.4253e-05,999,97.4452,19.5432,0.0001988,78.9573,12.6991,15.19148233,75257
14,15,terrasarx,31698,U,07026A,2021,9.60182916,-1.243e-05,0.0,-5.5999e-05,999,97.445,19.6772,0.0001982,78.8512,37.1583,15.19147734,75259
15,16,terrasarx,31698,U,07026A,2021,9.7338627,-1.47e-05,0.0,-6.6824e-05,999,97.4448,19.8071,0.0001992,77.4316,40.1946,15.19146222,75261
16,17,terrasarx,31698,U,07026A,2021,9.92172193,-1.48e-05,0.0,-6.7321e-05,999,97.4449,19.9921,0.0001981,77.1482,347.211,15.19145667,75264
17,18,terrasarx,31698,U,07026A,2021,9.98771255,-1.349e-05,0.0,-6.1086e-05,999,97.4442,20.0577,0.0001955,79.9347,345.0965,15.19146212,75265
18,19,terrasarx,31698,U,07026A,2021,10.05833889,-1.369e-05,0.0,-6.2042e-05,999,97.4447,20.1268,0.000198,78.7907,12.2432,15.19145914,75266
19,20,terrasarx,31698,U,07026A,2021,10.39606966,-1.385e-05,0.0,-6.279e-05,999,97.4448,20.4597,0.000198,77.8716,59.0076,15.1914493,75271
20,21,terrasarx,31698,U,07026A,2021,10.46190034,-1.418e-05,0.0,-6.4371e-05,999,97.4448,20.5245,0.0001977,77.5805,59.0911,15.19144576,75272
21,22,terrasarx,31698,U,07026A,2021,10.79805416,-1.413e-05,0.0,-6.4121e-05,999,97.4448,20.8556,0.0001978,76.9319,96.9654,15.19143702,75277
22,23,terrasarx,31698,U,07026A,2021,10.97991797,-1.312e-05,0.0,-5.9314e-05,999,97.4447,21.0346,0.0001917,76.3511,11.514,15.19143945,75280
23,24,terrasarx,31698,U,07026A,2021,11.11143181,-1.24e-05,0.0,-5.588e-05,999,97.4446,21.1643,0.0001912,74.4563,12.1907,15.19144124,75282
24,25,terrasarx,31698,U,07026A,2021,11.45002998,-9.53e-06,0.0,-4.2217e-05,999,97.4449,21.4984,0.0002027,76.3048,60.9403,15.19145483,75287
25,26,terrasarx,31698,U,07026A,2021,11.45002998,-9.53e-06,0.0,-4.2217e-05,999,97.4449,21.4984,0.0002027,76.3048,60.9403,15.19145483,75287
26,27,terrasarx,31698,U,07026A,2021,11.81787037,-8.02e-06,0.0,-3.4985e-05,999,97.4447,21.8601,0.0001956,79.5256,268.1355,15.19146033,75292
27,28,terrasarx,31698,U,07026A,2021,11.81787037,-8.02e-06,0.0,-3.4985e-05,999,97.4447,21.8601,0.0001956,79.5256,268.1355,15.19146033,75292
28,29,terrasarx,31698,U,07026A,2021,12.09952387,-5.81e-06,0.0,-2.4458e-05,999,97.4444,22.137,0.0001908,72.382,14.6476,15.19147437,75297
29,30,terrasarx,31698,U,07026A,2021,12.43825495,-2.95e-06,0.0,-1.0847e-05,999,97.4448,22.4712,0.0001998,75.6322,62.7287,15.19149478,75302
30,31,terrasarx,31698,U,07026A,2021,12.43825495,-2.95e-06,0.0,-1.0847e-05,999,97.4448,22.4712,0.0001998,75.6322,62.7287,15.19149478,75302
31,32,terrasarx,31698,U,07026A,2021,12.7739328,-1.65e-06,0.0,-4.6546e-06,999,97.4446,22.8019,0.0002023,83.3478,89.6535,15.19150444,75307
32,33,terrasarx,31698,U,07026A,2021,12.95676793,-7.6e-07,0.0,-4.2224e-07,999,97.4447,22.9815,0.0001965,82.1459,10.1371,15.19151212,75310
33,34,terrasarx,31698,U,07026A,2021,13.08762492,-1.3e-07,0.0,2.5952e-06,999,97.4446,23.1107,0.0001942,79.3161,8.1627,15.1915176,75312
34,35,terrasarx,31698,U,07026A,2021,13.49585895,6.04e-06,0.0,3.1971e-05,999,97.444,23.5127,0.0001829,81.345,77.3393,15.19156012,75318
35,36,terrasarx,31698,U,07026A,2021,13.49585895,6.04e-06,0.0,3.1971e-05,999,97.444,23.5127,0.0001829,81.345,77.3393,15.19156012,75318
36,37,terrasarx,31698,U,07026A,2021,13.81477109,6.14e-06,0.0,3.2424e-05,999,97.4441,23.8271,0.0001854,81.8185,19.8715,15.19156417,75323
37,38,terrasarx,31698,U,07026A,2021,13.81477109,6.14e-06,0.0,3.2424e-05,999,97.4441,23.8271,0.0001854,81.8185,19.8715,15.19156417,75323
38,39,terrasarx,31698,U,07026A,2021,14.13740772,7.19e-06,0.0,3.7427e-05,999,97.4438,24.1447,0.0001943,81.7495,343.3041,15.1915738,75328
39,40,terrasarx,31698,U,07026A,2021,14.29068287,7.18e-06,0.0,3.7388e-05,999,97.4439,24.2958,0.0001936,79.8575,102.9165,15.19157509,75330
40,41,terrasarx,31698,U,07026A,2021,14.48298778,7.23e-06,0.0,3.7597e-05,999,97.4439,24.4853,0.0001912,78.734,75.0779,15.19157797,75333
41,42,terrasarx,31698,U,07026A,2021,14.79376575,6.71e-06,0.0,3.5127e-05,999,97.4434,24.7912,0.0001849,75.9751,336.3803,15.19157574,75338
42,43,terrasarx,31698,U,07026A,2021,15.12930304,5.15e-06,0.0,2.7704e-05,999,97.4433,25.1214,0.0001999,79.2634,6.9527,15.19156435,75343
43,44,terrasarx,31698,U,07026A,2021,15.47154002,4.95e-06,0.0,2.6743e-05,999,97.4433,25.4586,0.0001975,74.9136,81.7854,15.19156457,75348
44,45,terrasarx,31698,U,07026A,2021,15.47154002,4.95e-06,0.0,2.6743e-05,999,97.4433,25.4586,0.0001975,74.9136,81.7854,15.19156457,75348
45,46,terrasarx,31698,U,07026A,2021,15.79134674,2.82e-06,0.0,1.6638e-05,999,97.4431,25.7731,0.0001902,73.0095,31.5728,15.19154977,75353
46,47,terrasarx,31698,U,07026A,2021,15.79134674,2.82e-06,0.0,1.6638e-05,999,97.4431,25.7731,0.0001902,73.0095,31.5728,15.19154977,75353
47,48,terrasarx,31698,U,07026A,2021,16.11752904,5.2e-07,0.0,5.6473e-06,999,97.4434,26.0944,0.0001877,74.6604,12.6502,15.19153287,75358
48,49,terrasarx,31698,U,07026A,2021,16.52475135,-1.23e-06,0.0,-2.6721e-06,999,97.4435,26.4954,0.0001776,71.959,80.9985,15.19151767,75364
49,50,terrasarx,31698,U,07026A,2021,16.52475135,-1.23e-06,0.0,-2.6721e-06,999,97.4435,26.4954,0.0001776,71.959,80.9985,15.19151767,75364
50,51,terrasarx,31698,U,07026A,2021,16.70853624,-6.59e-06,0.0,-2.8206e-05,999,97.4442,26.6778,0.0001889,73.9196,3.4933,15.19148278,75367
51,52,terrasarx,31698,U,07026A,2021,16.70853624,-6.59e-06,0.0,-2.8206e-05,999,97.4442,26.6778,0.0001889,73.9196,3.4933,15.19148278,75367
